term,diff
domestic terrorist,-3.52406272008322e-05
citizens,-3.518607938280728e-05
politician,-3.395137951017063e-05
january,-3.274645808371658e-05
process,-3.18497678625121e-05
social,-3.085009502038893e-05
vote,-3.0805371969110096e-05
border policy,-2.97643091706759e-05
white house,-2.8707253656069993e-05
industry,-2.838986429776777e-05
long time,-2.828043404304526e-05
illegal drug,-2.7977051602187685e-05
oil,-2.7406523173743045e-05
world order,-2.705180924694533e-05
border state,-2.637949370928709e-05
advantage,-2.5666350083418344e-05
dictator,-2.4277941879559005e-05
casualty,-2.1761580686952865e-05
child sex,-2.1672841633340635e-05
left,-2.0356341047155814e-05
shot,-2.0333029960147952e-05
deportation,-1.8370272459560856e-05
term,-1.7827754135991763e-05
lord,-1.6992963942092396e-05
certain,-1.538232082419922e-05
american taxpayer,-1.3412063457303078e-05
socialist,-1.3065067934979187e-05
activity,-1.1556468149192503e-05
sea,-1.0742876032869835e-05
billion,-9.890765113542972e-06
yr,-9.78031778234073e-06
matter,-9.203874369593384e-06
living,-8.82459124796947e-06
issue,-7.451595195737213e-06
human trafficker,-4.681905932787966e-06
poor,-4.007604150120438e-06
country americans,-3.19597910298971e-06
generation,-2.8357605044725164e-06
picture,-1.6637439792477294e-06
desert,-1.5070145887544507e-06
fight,4.5885831470246236e-07
bad bad,2.6458933724584884e-06
possible,4.240528834835271e-06
plan,5.214440416465797e-06
birth,5.405801465155195e-06
thought,6.2954988324461815e-06
flag,6.493133512579892e-06
people home,6.618097459729045e-06
thug,7.025133429220277e-06
planet,1.0849500907707081e-05
lie,1.09204591613386e-05
strong,1.3011088437582129e-05
biden country,1.3804769114918853e-05
average,1.5876220155019657e-05
madness,2.061139156847179e-05
ideology,2.077350117157871e-05
cancer,2.114732159264537e-05
child woman,2.200140756349121e-05
bidens,2.316840730003447e-05
behavior,2.453128384077353e-05
middle class,2.498493301545605e-05
short,2.576054139049775e-05
finger,2.8063922735310407e-05
scale,2.879254123129896e-05
division,3.010442775004034e-05
alot,3.130080991659912e-05
ur,3.2010815944081574e-05
center,3.22404411937803e-05
alive,3.3333758477041564e-05
regular,3.573637656591189e-05
body,3.6092135783918336e-05
change,3.7517083426618844e-05
teacher,3.808735945524109e-05
eye,3.9084826774841725e-05
republic,4.068555462986194e-05
fake,4.1340585961287474e-05
kid school,4.298659942118761e-05
party,4.387826135693329e-05
monster,4.458373164326648e-05
dream,4.863799501405848e-05
animal,4.875654806727099e-05
help,5.177716735884686e-05
american dream,5.196378088639529e-05
stage,5.208032445550476e-05
ill,5.249715971017226e-05
cost,5.342388268978165e-05
america country,5.4393887613305466e-05
card,5.564755647091967e-05
illegal criminal,5.743123789366623e-05
human trafficking,5.966134252652529e-05
world war,6.148070332272931e-05
law country,6.152034596153483e-05
crime,6.190538604775898e-05
supremacist,6.198172727814164e-05
america america,6.26785616447306e-05
difference,6.36332723905125e-05
boarder,6.434728987793521e-05
official,6.583592851032937e-05
kill,6.871077451703486e-05
gay,6.908756214736751e-05
extreme,7.082051640347746e-05
master,7.204644791680757e-05
country way,7.437010139060748e-05
price,7.577888896267027e-05
guard,7.635960785828651e-05
venezuela,7.813050178227766e-05
puppet,7.848961324854027e-05
weapon,8.073652475456866e-05
fun,8.130378929537257e-05
heart,8.30486185845801e-05
group,8.369384905339066e-05
al,8.371443141451292e-05
bs,8.413358347865858e-05
justice,8.535056533980875e-05
cheap,8.947588676810469e-05
horrible,9.19039988555052e-05
wealthy,9.201927989907043e-05
infrastructure,9.215299704261608e-05
illegal invader,9.217761354147786e-05
leader,9.271894172609152e-05
earth,9.547939122281856e-05
load,9.677026782643381e-05
half,9.734664735636296e-05
room,9.837900245081754e-05
emergency,0.00010013831196300962
sorry,0.00010401148450126332
brutal,0.00010612359245972496
takeover,0.00010655081670654166
court,0.00010883623598107454
control,0.00010954477793176289
lot,0.00010978253245959475
supporter,0.00011083071690171922
judgement,0.00011109170512164034
national,0.00011136012177418082
stuff,0.00011283794305004763
federal,0.00011452045618870975
bed,0.00011483960619569698
suffering,0.00011543625829014742
abortion,0.00011646259270707083
hungry,0.0001172926281973712
aware,0.00011729977200641915
christian,0.00011893362207556087
force,0.00011967916579722288
terrorist country,0.00012115394481414048
murderer,0.00012302163685465697
asylum seeker,0.00012383067797605075
sad,0.0001246424389345466
power,0.00012576075175402962
concerned,0.00012806591638168003
communism,0.00012923784651921707
tactic,0.00013032357324900415
economic,0.00013048534494419328
people life,0.0001320916616471689
military,0.00013230255427084487
road,0.00013267244295782864
thousand people,0.00013368317230986573
border open,0.00013405998050538875
excuse,0.00013505490369351988
military aged,0.0001389181415333801
direct,0.0001391480698802688
moment,0.0001397855028788355
globalist,0.00014013925264555157
fate,0.00014052714736027973
usa,0.00014266638864018476
inside,0.0001456761543713478
flow,0.0001468686387161741
mistake,0.0001492101470526719
belief,0.00014949618147080935
mass immigration,0.00014958694588311681
child trafficking,0.00014971949028894896
trash,0.00015127201890973027
night,0.00015313825535475485
potential,0.00015373347363922265
loose,0.0001542972723782853
illegal alien,0.00015488420414949385
flood,0.00015496330810011653
scared,0.0001556424032737925
joe biden,0.00015825722207252896
moral,0.0001591887896514137
international,0.00015934889491372257
intent,0.0001612832340410485
illegal immigration,0.0001620063584481283
total,0.00016317851787122815
reality,0.00016673312542879958
true,0.00016776048634602517
